"productName","starTechPrice","ryansPrice","priceDifference"
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U 156 FHD Laptop","80500","79900",600
"Lenovo IdeaPad Slim 3i 15IGL Intel Celeron N4020 156 HD Laptop","36000","35500",500
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 156 FHD Laptop","36000","35500",500
"Walton Tamarind MX311G Core i3 11th Gen 14 FHD Laptop","57500","55000",2500
"Dell Latitude 3520 Core i5 11th Gen 512GB SSD 156 HD Laptop","76000","73500",2500
"Dell Vostro 14 3400 Core i7 11th Gen MX330 2GB Graphics 14 FHD Laptop With Backlit Keyboard","85000","83000",2000
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 8GB RAM 156 FHD Laptop","65500","63900",1600
"HUAWEI MateBook B3-520 Core i3 11th Gen 156 FHD Laptop","59850 63999","59800 63999",50
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Flowers on Yellow","71990","71500",490
"Realme Book Core i5 11th Gen 14 2k UHD Laptop","73300","71500",1800
"HP ProBook 440 G9 Core i5 12th Gen 14 FHD Laptop With Windows 11","91000","89000",2000
"Acer Aspire 7 A715-51G Core i5 12th Gen GTX 1650 4GB Graphics 156 FHD Gaming Laptop","98000","95500",2500
"Asus VivoBook 15 K513EQ Core i5 11th Gen 156 OLED FHD Laptop","102000","99500",2500
"Asus VivoBook 15 S513EQ Core i5 11th Gen 8GB RAM 156 OLED FHD Laptop","101000","99500",1500
"ASUS VivoBook 15X X1503ZA-L1277W Core i5 12th Gen 156 FHD OLED Laptop","98990","98000",990
"Asus ZenBook 14 OLED UM3402YA Ryzen 5 5625U 14 WQHD Laptop","129500","129000",500
"HP 240 G8 Core i3 11th Gen 14 FHD Laptop","59000","58500",500
"Asus ExpertBook B3 Flip B3402FEA Core i7 16gb Ram 14-inch 360° FHD Touch Laptop","115000","113000",2000


"name","price"
"Acer TravelMate TMB 311-31-C3CD Celeron N4020 116 HD Laptop","34500"
"Asus P1511CMA Intel Celeron N4020 156-Inch HD Laptop","37500"
"Asus VivoBook 14 X415EA Core i3 11th Gen 14 FHD Laptop","56000"
"ASUS VivoBook 15 X515EA Core i5 11th Gen 512GB SSD 156 FHD Laptop","76500"
"Asus Vivobook E210MA Celeron N4020 116 HD Laptop","37000"
"Asus Vivobook E410MA Celeron N4020 14 HD Laptop","45000"
"DOEL Freedom A9 AMD A9-9425 141 HD Laptop","26999 29999"
"HP 15s-fq3617TU Celeron N4500 156 FHD Laptop","43500"
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U 156 FHD Laptop","80500"
"Lenovo IdeaPad D330 10IGL Intel CDC N4020 101 HD Touch Laptop","35800"
"Lenovo IdeaPad Slim 3i 15IGL Intel Celeron N4020 156 HD Laptop","36000"
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 156 FHD Laptop","36000"
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 156 HD Laptop","35500"
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 256GB SSD 156 HD Laptop","35500"
"Toshiba Dynabook Satellite Pro C40-G-109 Celeron 5205U 14 HD Laptop","29600"
"Toshiba Dynabook Satellite Pro C40-G-11I Core i3 10th Gen 14 HD Laptop","45000"
"Toshiba Dynabook Satellite Pro C40-G-13F Celeron 5205U 14 HD Laptop","31000"
"Walton Prelude N40 Pro Celeron N4020 14 FHD Laptop","39750"
"Walton Prelude N41 Pro Celeron N4120 14 FHD Laptop","42550"
"Walton Prelude N50 Pro Pentium Silver N5030 14 FHD Laptop","43750"
"Acer Aspire 3 A315-24P Ryzen 3 7320U 156 FHD Laptop","51400"
"Acer Extensa 15 EX215-54-34SE Core i3 11th Gen 156 FHD Laptop","46500"
"Acer Extensa 15 EX215-54-37AH Core i3 11th Gen 156 FHD Laptop","45200"
"Acer TravelMate TMP214-54 Core i3 12th Gen 14 HD Laptop","TBA"
"Acer TravelMate TMP214-54 Core i5 12th Gen 14 FHD Laptop","TBA"
"Acer TravelMate TMP214-54 Core i7 12th Gen 14 FHD Laptop","TBA"
"Acer TravelMate TMP215-53 Core i3 11th Gen 156 FHD Laptop","50500"
"Acer TravelMate TMP215-53 Core i3 11th Gen 1TB HDD 156 FHD Laptop","TBA"
"Asus ExpertBook BR1100FKA Celeron N4500 116 360° HD LED Touch Education Laptop","47500"
"ASUS VivoBook 14 K413EA Core i5 11th Gen 14 FHD Laptop with Windows 11","78000"
"Asus VivoBook 15 E510MA Intel Celeron N4020 156 FHD Laptop","47000"
"ASUS VivoBook 15 M515DA Ryzen 3 3250U 156 HD Laptop","50500"
"ASUS VivoBook 15 X515EA Core i3 11th Gen 156 FHD Laptop","51900"
"ASUS VivoBook 15 X515EA Core i3 11th Gen 156 FHD WV Laptop","51900"
"ASUS VivoBook 15 X515JA Core i3 10th Gen 512GB SSD 156 FHD Laptop","51500"
"DOEL T10 Core i3 10th Gen 14 FHD Laptop","49499"
"HP 15s-eq1578AU AMD Athlon 3050U 156 FHD Laptop","48900"
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 156 FHD Laptop","49900"
"Lenovo IdeaPad Slim 3i 11th Gen Core i3 256GB SSD 156 Full HD Laptop with Windows 11","51400"
"Walton Passion BX310U Core i3 10th Gen 156 FHD Laptop","49850"
"Acer Extensa 15 EX215-23 AMD Ryzen 3 7320U 156 Laptop","53500"
"ASUS VivoBook 15 D515DA Ryzen 3 3250U 156 FHD Laptop","55500"
"ASUS VivoBook 15 D515DA Ryzen 3 3250U 156 FHD Laptop with Windows 11","55000"
"ASUS VivoBook 15 X515EA Core i3 11th Gen 512GB SSD 156 FHD Laptop","56800"
"Dell Inspiron 15 3520 Core i3 12th Gen 156 FHD Laptop","64500"
"Dell Inspiron 15 3525 Ryzen 3 5425U 156 FHD Laptop","58900"
"Dell Inspiron 15 3525 Ryzen 5 5625U 156 FHD Laptop","71500"
"Dell Latitude 3520 Core i3 11th Gen 156 HD Laptop","56500"
"HP 15s-eq2618AU Ryzen 3 5300U 156 HD Laptop","55500"
"Lenovo IdeaPad Slim 1 15AMN7 Ryzen 3 7320U 156 FHD Laptop","53000"
"Lenovo IdeaPad Slim 3i 11th Gen Core i3 8GB RAM 14 FHD Laptop with Windows 11","56900"
"Lenovo IdeaPad Slim 3i 14IAU7 Core i3 12th Gen 14 FHD Laptop","56500"
"Lenovo IdeaPad Slim 3i 14IAU7 Core i3 12th Gen 14 FHD Laptop Abyss Blue","56500"
"Lenovo IdeaPad Slim 3i 14IAU7 Core i3 12th Gen 14 FHD Laptop Misty Blue","56500"
"Lenovo IdeaPad Slim 3i 14ITL6 Core i3 11th Gen 512GB SSD 14 FHD Laptop","57500"
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 14 FHD Laptop Abyss Blue","55500"
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 4GB RAM 156 FHD Laptop","52900"
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 512GB SSD 156 FHD Laptop","53500"
"Lenovo V14 Core i3 11th Gen 256GB SSD 14 FHD Laptop","53500 55500"
"Walton Tamarind MX311G Core i3 11th Gen 14 FHD Laptop","57500"
"Acer A315-59-390P Core i3 12th Gen 156 FHD Laptop","58000"
"Acer Aspire 3 A315-510P Core i3-N305 156 FHD Laptop","58900"
"Acer Aspire 3 A315-59 Core i3 12th Gen 156 FHD Laptop","58000"
"Acer Aspire 3 A315-59-34TO Core i3 12th Gen 156 FHD Laptop","58000"
"Acer Aspire 3 A315-59-39P4 Core i3 12th Gen 156 FHD Laptop","58000"
"Acer TravelMate TMP214-53 Core i3 11th Gen 8GB RAM 14 FHD Laptop","60000"
"ASUS VivoBook 15 X515EA Core i3 11th Gen 8GB RAM 512GB SSD 156 FHD Laptop","59500"
"ASUS VivoBook 15 X515JA Core i5 10th Gen 156 FHD Laptop","60000"
"Dell Inspiron 15 3520 Core i5 12th Gen 156 FHD Laptop","81500"
"Dell Inspiron 15 3520 Core i5 12th Gen MX550 2GB Graphics 156 FHD Laptop","TBA"
"Dell Inspiron 15 3520 Core i7 12th Gen 156 FHD Laptop","97000"
"Dell Latitude 14 3420 Core i7 11th Gen 14 FHD Laptop","90500"
"Dell Latitude 14 5420 Core i5 11th Gen 14 Full HD Laptop","TBA"
"Dell Latitude 3420 Core i5 11th Gen 14 FHD Laptop","76000"
"Dell Latitude 3420 Core i7 11th Gen MX350 2GB Graphics 14 FHD Laptop","92500"
"Dell Latitude 3520 Core i5 11th Gen 512GB SSD 156 HD Laptop","76000"
"Dell Latitude 3520 Core i5 11th Gen MX550 2GB Graphics 156 FHD Laptop","78500"
"Dell Vostro 14 3400 Core i7 11th Gen MX330 2GB Graphics 14 FHD Laptop With Backlit Keyboard","85000"
"HP 15s-fq5487TU Core i3 12th Gen 156 FHD Laptop","59500"
"Lenovo IdeaPad Slim 3i 14ITL6 Core i3 11th Gen 512GB SSD 14 FHD Laptop","57500"
"Acer Aspire 3 A315-24P Ryzen 5 7520U 156 FHD Laptop","62000"
"Acer Aspire 5 5P-A515-58P Core i3 13th Gen 156 FHD Laptop","63500"
"Asus ExpertBook B1 B1500CEAE Core i3 11th Gen 1TB HDD 156 FHD Laptop","58000 61000"
"ASUS VivoBook 15 X1500EA Core i3 11th Gen 156 FHD Laptop","62800"
"ASUS VivoBook 15 X1500EA Core i3 11th Gen 512GB SSD 156 FHD Laptop","62800"
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 256GB SSD 156 FHD Laptop","63900"
"ASUS VivoBook 15 X515JA Core i5 10th Gen 8GB RAM 156 FHD Laptop","63000"
"Dell Inspiron 14 7420 2 in 1 Intel Core i7 12th Gen MX550 2GB Graphics 14 360° FHD Touch Laptop","TBA"
"Dell Inspiron 15 3510 Intel Celeron N4020 156 HD Laptop","TBA"
"Dell Inspiron 15 3510 Intel Pentium Silver N5030 156 HD Laptop","TBA"
"Dell Inspiron 15 3511 Core i5 11th Gen 512GB SSD 156 FHD Laptop","TBA"
"Dell Latitude 14 3420 Core i3 11th Gen 14 HD Laptop","TBA"
"Dell Latitude 15-3520 Core i3 1115G4 156 HD Laptop","TBA"
"Dell Latitude 3430 Core i5 12th Gen 14 FHD Laptop","TBA"
"Dell Vostro 14 3400 Core i3 11th Gen 14 HD Laptop","TBA"
"Dell Vostro 14 3405 Ryzen 3 3250U 14 FHD Laptop with Windows 10","TBA"
"Dell Vostro 15 3500 Core i3 11th Gen 156 FHD Laptop with 3 Years Warranty","TBA"
"Huawei MateBook D15 Core i3 11th Gen 156 FHD Laptop","60500 63999"
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 156 FHD Laptop with DDR5 RAM","60500"
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 512GB SSD 14 FHD Laptop","61000"
"Acer Extensa 15 EX215-54-57SB Core i5 11th Gen 156 FHD Laptop","64000"
